keyword,frequency,avg_rank,categories,avg_rating,avg_reviews,category_count,total_rank
bright,13,22.7,"['Beauty', 'Skincare', 'Body Care']",4.1,20578.0,3,37.9
for hair,13,9.3,"['Beauty', 'Hair Care']",4.2,8150.0,2,28.3
bags,13,13.2,['Kitchen'],4.34,36261.0,1,
breathable,13,21.0,"['Clothing Women', 'Kitchen']",4.27,54394.0,2,35.3
edition,13,15.5,['Books'],4.42,6470.0,1,
pouch,13,15.0,"['Household Cleaners', 'Toys', 'Food']",4.33,386.0,3,25.1
free size,13,16.8,['Clothing Women'],4.07,7256.0,1,
cap for,13,19.3,['Clothing Women'],4.12,1524.0,1,
germ,13,18.8,"['Skincare', 'Toilet Cleaners', 'Body Care']",4.47,67639.0,3,42.3
cat food,13,17.2,['Pet Care'],4.32,7013.0,1,
dogs,13,14.0,['Pet Care'],4.18,25497.0,1,
freshness,13,19.0,"['Household Cleaners', 'Toilet Cleaners']",4.28,8154.0,2,29.8
bowl,13,18.3,['Toilet Cleaners'],3.94,311.0,1,
toilet bowl,13,18.3,['Toilet Cleaners'],3.94,311.0,1,
fast charging,12,13.0,['Electronics'],4.12,25414.0,1,
galaxy,12,12.9,['Electronics'],4.18,14631.0,1,
sports,12,20.0,"['Clothing Women', 'Electronics']",3.97,51759.0,2,35.1
crystal,12,16.0,"['Kitchen', 'Jewellery', 'Electronics']",4.13,17829.0,3,32.7
bangles,12,13.2,['Jewellery'],3.8,47.0,1,
women girls,12,17.6,['Jewellery'],4.05,314.0,1,
colour,12,9.8,"['Beauty', 'Hair Care']",4.1,9679.0,2,22.9
prevents,12,13.8,"['Beauty', 'Skincare', 'Hair Care', 'Body Care']",4.25,18446.0,4,29.5
coconut,12,14.5,"['Beauty', 'Hair Care']",4.35,38940.0,2,26.7
strong,12,13.3,"['Beauty', 'Hair Care', 'Pet Care']",4.13,14197.0,3,27.3
pigmentation,12,12.7,"['Beauty', 'Skincare', 'Body Care']",4.23,11471.0,3,24.9
presto,12,5.0,"['Household Cleaners', 'Toilet Cleaners', 'Kitchen']",4.4,36837.0,3,7.5
game,12,16.3,['Toys'],4.15,14400.0,1,
ankle length,12,11.2,['Clothing Women'],4.08,7358.0,1,
leather,12,14.3,['Clothing Women'],4.08,4071.0,1,
belt for,12,15.3,['Clothing Women'],4.04,2642.0,1,
shampoo for,12,18.1,['Hair Care'],4.21,27716.0,1,
face serum,12,8.8,"['Skincare', 'Body Care']",4.2,22419.0,2,26.8
care,12,7.3,"['Skincare', 'Pet Care', 'Body Care']",4.33,44507.0,3,26.900000000000002
instant,12,23.7,"['Skincare', 'Toilet Cleaners', 'Food', 'Body Care']",3.97,18448.0,4,34.7
spectrum uva,12,13.4,['Sun Care'],4.25,934.0,1,
lotion for,12,10.6,"['Sun Care', 'Body Care']",4.3,193.0,2,33.4
ml pack,12,13.6,"['Household Cleaners', 'Toilet Cleaners', 'Sun Care']",4.0,989.0,3,35.9
dry dog,12,14.1,['Pet Care'],4.2,10521.0,1,
remover,12,16.3,"['Household Cleaners', 'Toilet Cleaners']",4.19,3268.0,2,33.7
type,11,7.8,['Electronics'],4.1,29543.0,1,
mah,11,12.0,['Electronics'],4.18,12229.0,1,
samsung galaxy,11,13.4,['Electronics'],4.16,14279.0,1,
pro,11,19.0,['Electronics'],4.22,33794.0,1,
smart,11,17.3,['Electronics'],4.05,35188.0,1,
case,11,16.9,"['Toys', 'Electronics']",4.2,18127.0,2,33.4
for girls,11,15.5,['Jewellery'],3.94,1753.0,1,
bracelet for,11,13.4,['Jewellery'],3.94,884.0,1,
multicolor,11,21.7,"['Jewellery', 'Clothing Women', 'Toys']",4.2,425.0,3,31.4
lactic,11,18.5,"['Beauty', 'Skincare', 'Body Care']",4.3,9744.0,3,30.7
soaps,11,1.0,"['Beauty', 'Skincare', 'Body Care']",3.9,27506.0,3,9.2
scalp,11,9.7,"['Beauty', 'Hair Care']",4.2,12375.0,2,25.6
year,11,9.7,"['Toys', 'Kitchen']",4.27,16862.0,2,16.1
brand,11,5.0,"['Household Cleaners', 'Clothing Women', 'Kitchen']",4.4,36837.0,3,15.9
life,11,13.7,"['Books', 'Pet Care']",4.47,20556.0,2,26.6
leather belt,11,14.5,['Clothing Women'],4.06,4261.0,1,
all hair,11,17.0,['Hair Care'],4.25,11730.0,1,
roll,11,7.5,"['Skincare', 'Body Care']",4.32,33944.0,2,28.9
roll on,11,7.5,"['Skincare', 'Body Care']",4.32,33944.0,2,28.9
nivea,11,15.8,"['Skincare', 'Body Care']",4.33,44273.0,2,28.6
butter,11,25.7,"['Skincare', 'Food', 'Body Care']",4.37,31032.0,3,51.5
dry cat,11,15.3,['Pet Care'],4.31,7800.0,1,
coat,11,15.6,['Pet Care'],4.26,9290.0,1,
cats,11,16.1,['Pet Care'],4.28,7398.0,1,
